forage_id,location,crop,block,sample_time,series_no,forage_initial_drywt_g,forage_final_drywt_g,pct_n,pct_c
357,isu,pcro,4,t5,7,13.899999999999997,10.322,4.59,43.2
358,isu,pcro,4,t6,8,14.1,10.29,4.81,43.4
359,isu,pcro,4,t0,9,14.1,13.985999999999999,5.51,44.9
360,isu,pcro,4,t8,10,14.299999999999999,9.409,5.27,43.9
361,isu,cr,4,t6,1,19.8,15.993999999999998,2.19,39.7
362,isu,cr,4,t1,2,19.3,19.048,1.78,43.2
363,isu,cr,4,t8,3,20,16.287,2.05,42.2
364,isu,cr,4,t4,4,19.7,17.658,1.77,43.5
365,isu,cr,4,t0,5,20.1,19.41,1.84,43.3
366,isu,cr,4,t3,6,20,18.819,2.31,40.6
367,isu,cr,4,t2,7,20.2,19.616,1.04,27.3
368,isu,cr,4,t9,8,18.7,14.509,2.225,41.349999999999994
369,isu,cr,4,t7,9,20.1,15.661,2.16,41.5
370,isu,cr,4,t5,10,18.4,15.572999999999999,NA,NA
371,isu,wpc,4,t1,1,20.9,20.801,NA,NA
372,isu,wpc,4,t6,2,21.2,19.154999999999998,NA,NA
373,isu,wpc,4,t5,3,20.9,18.459,NA,NA
374,isu,wpc,4,t2,4,21.499999999999996,20.7,2.71,44
375,isu,wpc,4,t4,5,20.999999999999996,19.782999999999998,NA,NA
376,isu,wpc,4,t0,6,20.799999999999997,20.691999999999997,NA,NA
377,isu,wpc,4,t9,7,21.099999999999998,18.058999999999997,3.06,37.6
378,isu,wpc,4,t8,8,21.2,17.840999999999998,2.91,37.4
379,isu,wpc,4,t3,9,21.599999999999998,20.377,NA,NA
380,isu,wpc,4,t7,10,21.299999999999997,16.996999999999996,3.36,38.7
381,isu,gpc,4,t8,1,19.2,18.036,2.24,37.1
382,isu,gpc,4,t9,2,18.1,16.933,1.41,38.2
383,isu,gpc,4,t1,3,18.3,18.033,1.37,44
384,isu,gpc,4,t5,4,19.2,17.858,2.25,43.6
385,isu,gpc,4,NA,5,19.4,NA,NA,NA
386,isu,gpc,4,t6,6,22.4,21.354,2.21,41.5
387,isu,gpc,4,t7,7,19.8,18.151,2.09,40.4
388,isu,gpc,4,t2,8,19.5,19.461,NA,NA
389,isu,gpc,4,t4,9,18.2,16.672,1.93,43.8
390,isu,gpc,4,t0,10,20.4,20.212,2.05,45.1
