location,crop,forage_id,tea_id,block,forage_bag_wt_g,forage_initial_drywt_g,staple_weight,sample_time,forage_final_drywt_g,tea_final_drywt_g,tea_initial_drywt_g,forage_pct_n,forage_pct_c,tea_pct_n,tea_pct_c,days
WIU,WPC,160,156,4,2.5,20.5,0.1,t8,17.104,1.712,2.1,3.3,35,3.58,33.5,30
WIU,AR,161,165,4,2.4,17.1,0.1,t4,15.276,1.61,2.1,2.89,37.2,3.42,38.9,12
WIU,AR,162,162,4,2.4,19.1,0.1,t3,17.211,1.92,2.2000000000000002,2.99,39.7,3.72,40,8
WIU,AR,163,528,4,2.4,16.8,0.1,t8,13.04,1.985,2.2000000000000002,2.9,35.2,2.7,26.4,30
WIU,AR,164,164,4,2.4,17.2,0.1,t6,16.288,1.918,2.1,2.39,26.6,1.86,18.3,20
WIU,AR,165,166,4,2.4,17.3,0.1,t5,17.416,1.919,2.1,2.5,34.6,2.01,21.2,16
WIU,AR,166,167,4,2.4,18.7,0.1,t0,17.257,2.064,2.2000000000000002,2.5275,41.9,4.18,49.025,0
WIU,AR,167,168,4,2.5,16.4,0.1,t1,16.631,2.118,2.2999999999999998,3.14,41.7,3.85,46.2,4
WIU,AR,168,169,4,2.4,17.4,0.1,t7,13.122,1.613,2.2000000000000002,2.84,33.1,3.43,33.5,25
WIU,AR,169,163,4,2.5,18,0.1,t9,17.230999999999998,1.983,2.2000000000000002,2.77,39.7,3.71,45,35
WIU,CR,171,185,4,2.5,19.799999999999997,0.1,t2,19.112,1.798,2.1,2.43,44,4.34,43.5,6
WIU,CR,172,186,4,2.4,20,0.1,t5,16.428,1.344,2,2.32,42.3,NA,NA,16
WIU,CR,173,190,4,2.5,19.5,0.1,t4,16.744999999999997,1.166,2,2.31,41.6,4.95,45.4,12
WIU,CR,174,187,4,2.4,19.7,0.1,t3,18.081,1.484,2,NA,NA,NA,NA,8
WIU,CR,175,181,4,2.4,19.5,0.1,t9,15.136,1.048,2,2.64,41.6,5.36,46.1,35
